experiment,split_column,epoch,train_loss,val_loss,val_accuracy,val_auc,val_precision_macro,val_recall_macro,val_f1_macro
cnn_scratch_random,split_random,1,0.524556,0.479821,0.7978,0.9033,0.823,0.7978,0.7938
cnn_scratch_random,split_random,2,0.441914,0.371549,0.8412,0.9172,0.8424,0.8412,0.841
cnn_scratch_random,split_random,3,0.402589,0.315415,0.8765,0.9468,0.8766,0.8765,0.8765
cnn_scratch_random,split_random,4,0.370657,0.339776,0.8605,0.9513,0.8723,0.8605,0.8594
cnn_scratch_random,split_random,5,0.346678,0.284648,0.889,0.9552,0.8891,0.889,0.889
cnn_scratch_random,split_random,6,0.326735,0.350378,0.858,0.9565,0.8761,0.858,0.8563
cnn_scratch_random,split_random,7,0.311137,0.240523,0.906,0.9654,0.906,0.906,0.906
cnn_scratch_random,split_random,8,0.299266,0.234049,0.9103,0.9719,0.9126,0.9103,0.9102
cnn_scratch_cross_a,split_cross_a,1,0.468688,0.229869,0.9183,0.9815,0.9239,0.9183,0.918
cnn_scratch_cross_a,split_cross_a,2,0.276687,0.106146,0.971,0.9959,0.971,0.971,0.971
cnn_scratch_cross_a,split_cross_a,3,0.183931,0.081892,0.9798,0.9978,0.9799,0.9798,0.9797
cnn_scratch_cross_a,split_cross_a,4,0.138305,0.131131,0.9455,0.9935,0.9487,0.9455,0.9454
cnn_scratch_cross_a,split_cross_a,5,0.11602,0.046065,0.987,0.999,0.9871,0.987,0.987
cnn_scratch_cross_a,split_cross_a,6,0.104125,0.052267,0.9828,0.9983,0.9828,0.9828,0.9827
cnn_scratch_cross_a,split_cross_a,7,0.081543,0.064923,0.9755,0.9992,0.9765,0.9755,0.9755
cnn_scratch_cross_a,split_cross_a,8,0.081438,0.039775,0.989,0.999,0.989,0.989,0.989
cnn_scratch_cross_b,split_cross_b,1,0.454078,0.184182,0.93,0.9857,0.9354,0.93,0.9298
cnn_scratch_cross_b,split_cross_b,2,0.242328,0.152573,0.943,0.9923,0.9482,0.943,0.9428
cnn_scratch_cross_b,split_cross_b,3,0.179243,0.083652,0.9675,0.995,0.968,0.9675,0.9675
cnn_scratch_cross_b,split_cross_b,4,0.1537,0.08414,0.9718,0.9954,0.9724,0.9718,0.9717
cnn_scratch_cross_b,split_cross_b,5,0.127389,0.289807,0.8922,0.9878,0.911,0.8922,0.891
cnn_scratch_cross_b,split_cross_b,6,0.112223,0.105813,0.9617,0.995,0.9642,0.9617,0.9617
cnn_scratch_cross_b,split_cross_b,7,0.102559,0.066346,0.9785,0.9968,0.9788,0.9785,0.9785
cnn_scratch_cross_b,split_cross_b,8,0.099698,0.068506,0.9768,0.9974,0.9774,0.9768,0.9767
cnn_scratch_artist,split_artist,1,0.540124,0.423647,0.8057,0.9069,0.8235,0.807,0.8034
cnn_scratch_artist,split_artist,2,0.459531,0.362606,0.8502,0.9278,0.8511,0.8505,0.8501
cnn_scratch_artist,split_artist,3,0.418036,0.296014,0.8812,0.949,0.8812,0.8812,0.8812
cnn_scratch_artist,split_artist,4,0.388173,0.283042,0.8859,0.9571,0.8883,0.8863,0.8858
cnn_scratch_artist,split_artist,5,0.367321,0.295857,0.8734,0.9575,0.8802,0.8742,0.873
cnn_scratch_artist,split_artist,6,0.344772,0.332487,0.8505,0.9645,0.8722,0.8519,0.8486
cnn_scratch_artist,split_artist,7,0.328743,0.264274,0.8955,0.961,0.8958,0.8953,0.8954
cnn_scratch_artist,split_artist,8,0.310983,0.249449,0.8982,0.9728,0.9041,0.8989,0.8979
