image_path,label,class_name,source_dataset,original_split,original_style,artist,split_random,split_cross_a,split_cross_b,split_artist
data\standardized\coco\00000.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00001.jpg,1,art,artbench,train,art_nouveau,leon-bakst,train,test,train,test
data\standardized\places365\00002.jpg,0,photo,places365,,,,val,val,test,test
data\standardized\wikiart\00003.jpg,1,art,wikiart,,,paolo-veronese,train,val,test,train
data\standardized\places365\00004.jpg,0,photo,places365,,,,train,val,test,train
data\standardized\coco\00005.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00006.jpg,1,art,artbench,train,renaissance,dirk-bouts,train,test,val,train
data\standardized\places365\00007.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00008.jpg,1,art,artbench,train,expressionism,francis-bacon,train,test,train,val
data\standardized\coco\00009.jpg,0,photo,coco,,,,test,test,train,test
data\standardized\places365\00010.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00011.jpg,1,art,artbench,train,post_impressionism,grace-cossington-smith,val,test,train,val
data\standardized\wikiart\00012.jpg,1,art,wikiart,,,karl-bryullov,train,train,test,val
data\standardized\wikiart\00013.jpg,1,art,wikiart,,,andrei-ryabushkin,train,train,test,train
data\standardized\coco\00014.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00015.jpg,1,art,wikiart,,,esaias-van-de-velde,train,train,test,train
data\standardized\artbench\00016.jpg,1,art,artbench,test,ukiyo_e,suzuki-harunobu,val,test,train,train
data\standardized\artbench\00017.jpg,1,art,artbench,train,impressionism,hugo-muhlig,val,test,train,train
data\standardized\places365\00018.jpg,0,photo,places365,,,,test,val,test,val
data\standardized\coco\00019.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00020.jpg,1,art,artbench,train,post_impressionism,cuno-amiet,test,test,train,train
data\standardized\artbench\00021.jpg,1,art,artbench,train,romanticism,george-romney,train,test,train,val
data\standardized\coco\00022.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00023.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00024.jpg,1,art,artbench,train,expressionism,lasar-segall,train,test,train,train
data\standardized\coco\00025.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00026.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\places365\00027.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00028.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00029.jpg,0,photo,places365,,,,test,train,test,val
data\standardized\coco\00030.jpg,0,photo,coco,,,,test,test,val,test
data\standardized\coco\00031.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00032.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\coco\00033.jpg,0,photo,coco,,,,val,test,val,test
data\standardized\places365\00034.jpg,0,photo,places365,,,,test,val,test,test
data\standardized\wikiart\00035.jpg,1,art,wikiart,,,salvador-dali,train,train,test,train
data\standardized\coco\00036.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\wikiart\00037.jpg,1,art,wikiart,,,lasar-segall,train,train,test,train
data\standardized\wikiart\00038.jpg,1,art,wikiart,,,amedeo-modigliani,train,val,test,val
data\standardized\wikiart\00039.jpg,1,art,wikiart,,,ion-theodorescu-sion,train,train,test,val
data\standardized\artbench\00040.jpg,1,art,artbench,train,romanticism,franz-richard-unterberger,train,test,train,train
data\standardized\wikiart\00041.jpg,1,art,wikiart,,,george-frederick-watts,train,train,test,train
data\standardized\wikiart\00042.jpg,1,art,wikiart,,,alexander-liberman,train,train,test,train
data\standardized\wikiart\00043.jpg,1,art,wikiart,,,konstantin-makovsky,train,train,test,train
data\standardized\wikiart\00044.jpg,1,art,wikiart,,,franz-marc,train,train,test,train
data\standardized\coco\00045.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00046.jpg,1,art,artbench,train,impressionism,pierre-auguste-renoir,train,test,val,val
data\standardized\coco\00047.jpg,0,photo,coco,,,,train,test,train,train
data\standardized\artbench\00048.jpg,1,art,artbench,test,realism,anders-zorn,train,test,train,train
data\standardized\wikiart\00049.jpg,1,art,wikiart,,,gerard-sekoto,train,train,test,train
data\standardized\wikiart\00050.jpg,1,art,wikiart,,,frits-thaulow,train,train,test,train
data\standardized\artbench\00051.jpg,1,art,artbench,train,impressionism,benito-quinquela-martin,train,test,train,train
data\standardized\places365\00052.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00053.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\places365\00054.jpg,0,photo,places365,,,,train,train,test,train
data\standardized\artbench\00055.jpg,1,art,artbench,test,baroque,rembrandt,test,test,train,train
